"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnufWBhhMQH5a7zZUoBn67TC39q2dqLWc0id2TM6JKyoQjUXt92Tuknx1KGP58Q",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,1.01232573205456
"2_ABaOnueN8pBtn1mc8wHe5047bAfnBkQHj9Lw4udiS8BAyE1f6w06myxeTA4mA-ziOQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.501660883329843
"2_ABaOnuefrS5GJRK7e7qzfyUnBHqy2nPmve6dNJqKALl0w-N789YGn_9gKXQ5YIefmw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,26,0.583084814402201
"2_ABaOnucs8Vo_d5Qw_yLdfgo2vXSVjDMR0110OnVTX1pac_1XarWPoZyfVu7RJbretg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.706250719394245
"2_ABaOnucZqg6HtuMJhYR-BS5g0Ti56d__EBMFrJbS7j2jO0XBuFmmhCjyCeyXtyXChg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.828266508044637
"2_ABaOnuf22qBfRURDawua1m-pfMjW7DZ3I3YlRSJRCWiMUaF7k5h1Oyld0Ec8-xo08w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.720665485285504
"2_ABaOnud9W94OV0qtErAdXAPfVbfBO4WBRDKpwB0xuEc-CdmcyB415bBU6JHJLVo6GA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,7,0.695678476053965
"2_ABaOnueDjv_uJqc70OtQ-aHx6Et5IxjBAvzyeTmS__rXNJJpcOx6ayY6g9agLn0V4w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,23,0.726309652165518
"2_ABaOnufjxn3pI5dAfoFdx3Ycpixi3uA10eHXc5IsrX7fI9i3Yfoaxjn1TbyMWUCA9A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.652604257570693
"2_ABaOnuc_9sag6fLeZAeDSGYqtxTA_Ob3u5Cm0JGIxv3oNSZOgImTipEolLnc5fidqw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.95529219723243
"2_ABaOnuehpMBNFyBKUThJOUCEJD-NogvPj7bucy2-PqlCbrT7ZxLnrkKfmLK6SPdc_w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,20,0.564368493746074
